centena,ocorrencias,probabilidade (%)
954,1,0,081301
957,1,0,081301
958,1,0,081301
960,1,0,081301
962,1,0,081301
963,1,0,081301
964,1,0,081301
965,1,0,081301
970,1,0,081301
973,1,0,081301
975,1,0,081301
978,1,0,081301
981,1,0,081301
982,1,0,081301
984,1,0,081301
985,1,0,081301
987,1,0,081301
988,1,0,081301
992,1,0,081301
993,1,0,081301
995,1,0,081301
999,1,0,081301
001,0,0,000000
007,0,0,000000
008,0,0,000000
012,0,0,000000
013,0,0,000000
014,0,0,000000
020,0,0,000000
022,0,0,000000
031,0,0,000000
033,0,0,000000
036,0,0,000000
037,0,0,000000
039,0,0,000000
043,0,0,000000
048,0,0,000000
049,0,0,000000
051,0,0,000000
053,0,0,000000
061,0,0,000000
065,0,0,000000
066,0,0,000000
069,0,0,000000
074,0,0,000000
075,0,0,000000
079,0,0,000000
081,0,0,000000
082,0,0,000000
083,0,0,000000
084,0,0,000000
085,0,0,000000
086,0,0,000000
087,0,0,000000
089,0,0,000000
090,0,0,000000
092,0,0,000000
096,0,0,000000
097,0,0,000000
103,0,0,000000
108,0,0,000000
117,0,0,000000
123,0,0,000000
125,0,0,000000
126,0,0,000000
131,0,0,000000
140,0,0,000000
146,0,0,000000
153,0,0,000000
163,0,0,000000
166,0,0,000000
171,0,0,000000
173,0,0,000000
188,0,0,000000
196,0,0,000000
198,0,0,000000
201,0,0,000000
204,0,0,000000
205,0,0,000000
206,0,0,000000
207,0,0,000000
209,0,0,000000
210,0,0,000000
213,0,0,000000
221,0,0,000000
227,0,0,000000
229,0,0,000000
230,0,0,000000
240,0,0,000000
245,0,0,000000
247,0,0,000000
248,0,0,000000
253,0,0,000000
268,0,0,000000
269,0,0,000000
270,0,0,000000
272,0,0,000000
279,0,0,000000
284,0,0,000000
285,0,0,000000
286,0,0,000000
287,0,0,000000
297,0,0,000000
304,0,0,000000
306,0,0,000000
310,0,0,000000
311,0,0,000000
312,0,0,000000
313,0,0,000000
314,0,0,000000
317,0,0,000000
322,0,0,000000
337,0,0,000000
338,0,0,000000
344,0,0,000000
351,0,0,000000
353,0,0,000000
355,0,0,000000
359,0,0,000000
365,0,0,000000
367,0,0,000000
369,0,0,000000
371,0,0,000000
372,0,0,000000
376,0,0,000000
377,0,0,000000
378,0,0,000000
380,0,0,000000
381,0,0,000000
383,0,0,000000
384,0,0,000000
387,0,0,000000
390,0,0,000000
400,0,0,000000
402,0,0,000000
403,0,0,000000
408,0,0,000000
409,0,0,000000
414,0,0,000000
415,0,0,000000
418,0,0,000000
422,0,0,000000
425,0,0,000000
430,0,0,000000
435,0,0,000000
439,0,0,000000
440,0,0,000000
448,0,0,000000
450,0,0,000000
455,0,0,000000
457,0,0,000000
460,0,0,000000
462,0,0,000000
467,0,0,000000
471,0,0,000000
480,0,0,000000
485,0,0,000000
501,0,0,000000
502,0,0,000000
504,0,0,000000
507,0,0,000000
509,0,0,000000
514,0,0,000000
520,0,0,000000
521,0,0,000000
522,0,0,000000
531,0,0,000000
534,0,0,000000
537,0,0,000000
538,0,0,000000
541,0,0,000000
543,0,0,000000
545,0,0,000000
551,0,0,000000
554,0,0,000000
555,0,0,000000
557,0,0,000000
558,0,0,000000
560,0,0,000000
562,0,0,000000
566,0,0,000000
574,0,0,000000
575,0,0,000000
576,0,0,000000
587,0,0,000000
589,0,0,000000
590,0,0,000000
594,0,0,000000
595,0,0,000000
596,0,0,000000
603,0,0,000000
605,0,0,000000
607,0,0,000000
611,0,0,000000
617,0,0,000000
619,0,0,000000
620,0,0,000000
623,0,0,000000
624,0,0,000000
625,0,0,000000
626,0,0,000000
627,0,0,000000
628,0,0,000000
631,0,0,000000
632,0,0,000000
638,0,0,000000
640,0,0,000000
650,0,0,000000
655,0,0,000000
658,0,0,000000
660,0,0,000000
662,0,0,000000
664,0,0,000000
676,0,0,000000
677,0,0,000000
685,0,0,000000
689,0,0,000000
690,0,0,000000
691,0,0,000000
692,0,0,000000
700,0,0,000000
701,0,0,000000
710,0,0,000000
711,0,0,000000
712,0,0,000000
714,0,0,000000
715,0,0,000000
716,0,0,000000
720,0,0,000000
722,0,0,000000
725,0,0,000000
726,0,0,000000
727,0,0,000000
729,0,0,000000
731,0,0,000000
732,0,0,000000
734,0,0,000000
736,0,0,000000
747,0,0,000000
749,0,0,000000
750,0,0,000000
755,0,0,000000
756,0,0,000000
759,0,0,000000
760,0,0,000000
761,0,0,000000
762,0,0,000000
763,0,0,000000
772,0,0,000000
777,0,0,000000
778,0,0,000000
780,0,0,000000
784,0,0,000000
795,0,0,000000
797,0,0,000000
798,0,0,000000
800,0,0,000000
801,0,0,000000
803,0,0,000000
804,0,0,000000
808,0,0,000000
819,0,0,000000
820,0,0,000000
822,0,0,000000
823,0,0,000000
833,0,0,000000
837,0,0,000000
841,0,0,000000
842,0,0,000000
843,0,0,000000
848,0,0,000000
851,0,0,000000
857,0,0,000000
862,0,0,000000
865,0,0,000000
870,0,0,000000
872,0,0,000000
876,0,0,000000
878,0,0,000000
881,0,0,000000
882,0,0,000000
883,0,0,000000
887,0,0,000000
890,0,0,000000
894,0,0,000000
898,0,0,000000
902,0,0,000000
907,0,0,000000
908,0,0,000000
909,0,0,000000
911,0,0,000000
914,0,0,000000
918,0,0,000000
923,0,0,000000
924,0,0,000000
935,0,0,000000
945,0,0,000000
950,0,0,000000
953,0,0,000000
956,0,0,000000
961,0,0,000000
967,0,0,000000
971,0,0,000000
972,0,0,000000
976,0,0,000000
977,0,0,000000
979,0,0,000000
980,0,0,000000
983,0,0,000000
986,0,0,000000
989,0,0,000000
991,0,0,000000
994,0,0,000000
996,0,0,000000
997,0,0,000000
998,0,0,000000
